Scheme,N,Mean_Acc,Std_Acc,Criteria,vs_Full50
Full 50 (Baseline),50,51.46%,5.23%,All subjects,—
Scheme C: Subcortical Focus (RECOMMENDED),17,49.26%,3.35%,Subcortical + NIHSS<8 + TaskA≤55%,-2.20%
